drugName,url,description
Amiodarone,https://www.drugs.com/amiodarone.html,amiodarone affects the rhythm of your heartbeats. it is used to help keep the heart beating normally in people with life-threatening heart rhythm disorders of the ventricles (the lower chambers of the heart that allow blood to flow out of the heart). amiodarone is used to treat ventricular tachycardia or ventricular fibrillation. amiodarone is for use only in treating life-threatening heart rhythm disorders.
Amitiza,https://www.drugs.com/amitiza.html,"amitiza (lubiprostone) increases the secretion of fluid in your intestines to help make it easier to pass stools (bowel movements). amitiza is used to treat chronic chronic constipation, or constipation caused by opioid (narcotic) pain medicine. amitiza may also be used to treat irritable bowel syndrome in women with constipation as the main symptom. amitiza is only for use in adults."
Amitriptyline,https://www.drugs.com/amitriptyline.html,amitriptyline is a tricyclic antidepressant with sedative effects. amitriptyline affects certain chemical messengers (neurotransmitters) that communicate between brain cells and help regulate mood. amitriptyline is a prescription medicine used to treat symptoms of depression. amitriptyline may also be used for purposes not listed in this medication guide.
Amlodipine,https://www.drugs.com/amlodipine.html,amlodipine is a calcium channel blocker that dilates (widens) blood vessels and improves blood flow. amlodipine is used to treat chest pain (angina) and other conditions caused by coronary artery disease. amlodipine is also used to treat high blood pressure (hypertension). lowering blood pressure may lower your risk of a stroke or heart attack. amlodipine is for use in adults and children who are at least 6 years old.
Amoxicillin,https://www.drugs.com/amoxicillin.html,"amoxicillin is a penicillin antibiotic that fights bacteria. amoxicillin is used to treat many different types of infection caused by bacteria, such as tonsillitis, bronchitis, pneumonia, and infections of the ear, nose, throat, skin, or urinary tract. amoxicillin is also sometimes used together with another antibiotic called clarithromycin (biaxin) to treat stomach ulcers caused by helicobacter pylori infection. this combination is sometimes used with a stomach acid reducer called lansoprazole (prevacid)."
Amoxicillin and Clavulanate,https://www.drugs.com/amoxicillin_clavulanate.html,"amoxicillin and clavulanate potassium is a combination prescription antibiotic. amoxicillin is a penicillin antibiotic that fights bacteria in the body. clavulanate potassium is a beta-lactamase inhibitor that helps prevent certain bacteria from becoming resistant to amoxicillin. amoxicillin and clavulanate potassium is used to treat many different infections caused by bacteria, such as , pneumonia, ear infections, bronchitis, urinary tract infections, and infections of the skin."
Amphetamine and dextroamphetamine,https://www.drugs.com/mtm/amphetamine-and-dextroamphetamine.html,amphetamine and dextroamphetamine are central nervous system stimulants that affect chemicals in the brain and nerves that contribute to hyperactivity and impulse control. amphetamine and dextroamphetamine is a combination medicine used to treat narcolepsy and attention deficit hyperactivity disorder (adhd). amphetamine and dextroamphetamine may also be used for purposes not listed in this medication guide.
Anastrozole,https://www.drugs.com/mtm/anastrozole.html,"anastrozole lowers estrogen levels in postmenopausal women, which may slow the growth of certain types of breast tumors that need estrogen to grow in the body. anastrozole is used to treat breast cancer in postmenopausal women. it is often given to women whose cancer has progressed even after taking tamoxifen (nolvadex, soltamox). anastrozole may also be used for purposes not listed in this medication guide."
Antivert,https://www.drugs.com/antivert.html,"antivert (meclizine) is an antihistamine that reduces the effects of natural chemical histamine in the body. antivert is used to treat or prevent nausea, vomiting, and dizziness caused by motion sickness. antivert is also used to treat symptoms of vertigo (dizziness or spinning sensation) caused by disease that affects your inner ear."
Apixaban,https://www.drugs.com/mtm/apixaban.html,"apixaban is used to lower the risk of stroke caused by a blood clot in people with a heart rhythm disorder called atrial fibrillation. apixaban is also used after hip or knee replacement surgery to prevent a type of blood clot called deep vein thrombosis (dvt), which can lead to blood clots in the lungs (pulmonary embolism). apixaban is also used to treat dvt or pulmonary embolism (pe), and to lower your risk of having a repeat dvt or pe. apixaban may also be used for purposes not listed in this medication guide."
Aricept,https://www.drugs.com/aricept.html,"aricept (donepezil) improves the function of nerve cells in the brain. it works by preventing the breakdown of a chemical called acetylcholine (ah seet il koe leen). people with dementia usually have lower levels of this chemical, which is important for the processes of memory, thinking, and reasoning. aricept is used to treat mild to moderate dementia caused by alzheimer's disease. aricept is not a cure for alzheimer's disease. this condition will progress over time, even in people who take donepezil."
Arimidex,https://www.drugs.com/arimidex.html,"arimidex (anastrozole) lowers estrogen levels in postmenopausal women, which may slow the growth of certain types of breast tumors that need estrogen to grow in the body. arimidex is used to treat breast cancer in postmenopausal women. arimidex is often given to women whose cancer has progressed even after taking tamoxifen (nolvadex, soltamox)."
Aripiprazole,https://www.drugs.com/aripiprazole.html,"aripiprazole is an antipsychotic medicine that is used to treat the symptoms of psychotic conditions such as schizophrenia and bipolar i disorder (manic depression). it is not known if aripiprazole is safe or effective in children younger than 13 with schizophrenia, or children younger than 10 with bipolar disorder. aripiprazole is also used together with other medicines to treat major depressive disorder in adults. aripiprazole is also used in children 6 years or older who have tourette's disorder, or symptoms of autistic disorder (irritability, aggression, mood swings, temper tantrums, and self-injury)."
Armour Thyroid,https://www.drugs.com/mtm/armour-thyroid.html,"desiccated (dried) thyroid is a combination of hormones that are normally produced by your thyroid gland to regulate the body's energy and metabolism. desiccated thyroid is given when the thyroid does not produce enough of this hormone on its own. desiccated thyroid treats hypothyroidism (low thyroid hormone). desiccated thyroid is also used to treat or prevent goiter (enlarged thyroid gland), and is also given as part of a medical tests for thyroid disorders. desiccated thyroid should not be used to treat obesity or weight problems. desiccated thyroid may also be used for purposes not listed in this medication guide."
Ascorbic acid,https://www.drugs.com/mtm/ascorbic-acid.html,"ascorbic acid (vitamin c) occurs naturally in foods such as citrus fruit, tomatoes, potatoes, and leafy vegetables. vitamin c is important for bones and connective tissues, muscles, and blood vessels. vitamin c also helps the body absorb iron, which is needed for red blood cell production. ascorbic acid is used to treat and prevent vitamin c deficiency. ascorbic acid may also be used for purposes not listed in this medication guide."
Aspir 81,https://www.drugs.com/mtm/aspir-81.html,"aspir 81 is a salicylate (sa-lis-il-ate) that is used to treat pain, and reduce fever or inflammation. aspir 81 is sometimes used to treat or prevent heart attacks, strokes, and chest pain (angina). this medicine should be used for cardiovascular conditions only under the supervision of a doctor. aspir 81 may also be used for purposes not listed in this medication guide."
Aspirin,https://www.drugs.com/aspirin.html,"aspirin is a salicylate (sa-lis-il-ate). it works by reducing substances in the body that cause pain, fever, and inflammation. aspirin is used to treat pain, and reduce fever or inflammation. it is sometimes used to treat or prevent heart attacks, strokes, and chest pain (angina). aspirin should be used for cardiovascular conditions only under the supervision of a doctor."
Atenolol,https://www.drugs.com/atenolol.html,atenolol (tenormin) is a beta-blocker that affects the heart and circulation (blood flow through arteries and veins). atenolol is used to treat angina (chest pain) and hypertension (high blood pressure). atenolol is also used to lower the risk of death after a heart attack.
Ativan,https://www.drugs.com/ativan.html,"ativan (lorazepam) belongs to a group of drugs called benzodiazepines. it is thought that lorazepam works by enhancing the activity of certain neurotransmitters in the brain. ativan is used to treat anxiety disorders and seizure disorders. it is dangerous to purchase ativan on the internet or outside the united states. the sale and distribution of medicines outside the u.s. does not comply with safe-use regulations of the food and drug administration (fda). these medications may contain dangerous ingredients, or may not be distributed by a licensed pharmacy."
Atorvastatin,https://www.drugs.com/atorvastatin.html,"atorvastatin belongs to a group of drugs called hmg coa reductase inhibitors, or ""statins."" atorvastatin is used together with diet to lower blood levels of ""bad"" cholesterol (low-density lipoprotein, or ldl), to increase levels of ""good"" cholesterol (high-density lipoprotein, or hdl), and to lower triglycerides (a type of fat in the blood). atorvastatin is used to treat high cholesterol, and to lower the risk of stroke, heart attack, or other heart complications in people with type 2 diabetes, coronary heart disease, or other risk factors. atorvastatin is used in adults and children who are at least 10 years old."
Augmentin,https://www.drugs.com/augmentin.html,"augmentin contains a combination of amoxicillin and clavulanate potassium. amoxicillin is a penicillin antibiotic that fights bacteria in the body. clavulanate potassium is a beta-lactamase inhibitor that helps prevent certain bacteria from becoming resistant to amoxicillin. augmentin is prescription antibiotic used to treat many different infections caused by bacteria, such as , pneumonia, ear infections, bronchitis, urinary tract infections, and infections of the skin."
Azelastine,https://www.drugs.com/mtm/azelastine-nasal.html,"azelastine nasal (for the nose) is an antihistamine that treats sneezing, runny or stuffy nose, itching, and other nasal symptoms of allergies, in adults and children who are at least 5 years old. azelastine nasal is also used to treat ongoing nasal symptoms (runny or stuffy nose, sneezing, itching) that are not caused by allergies, in adults and children who are at least 12 years old. azelastine nasal may also be used for purposes not listed in this medication guide."
Azithromycin,https://www.drugs.com/azithromycin.html,"azithromycin is an antibiotic that fights bacteria. azithromycin is used to treat many different types of infections caused by bacteria, such as respiratory infections, skin infections, ear infections, eye infections, and sexually transmitted diseases. azithromycin may also be used for purposes not listed in this medication guide."
Bacitracin,https://www.drugs.com/mtm/bacitracin-ophthalmic.html,bacitracin is an antibiotic that kills bacteria. bacitracin ophthalmic (for the eyes) is used to treat bacterial infections of the eyes. bacitracin ophthalmic may also be used for purposes not listed in this medication guide.
Baclofen,https://www.drugs.com/baclofen.html,"baclofen is a muscle relaxer and an antispasmodic agent. baclofen is used to treat muscle pain, spasms, and stiffness in people with multiple sclerosis or spinal cord injury or disease. baclofen is given intrathecally (directly into the spinal cord) or orally (by mouth)."
Bactrim,https://www.drugs.com/bactrim.html,"bactrim contains a combination of sulfamethoxazole and trimethoprim. sulfamethoxazole and trimethoprim are are both antibiotics that treat different types of infection caused by bacteria. bactrim is used to treat ear infections, urinary tract infections, bronchitis, traveler's diarrhea, shigellosis, and pneumocystis jiroveci pneumonia. bactrim may also be used for purposes not listed in this medication guide."
Basaglar,https://www.drugs.com/basaglar.html,"basaglar (insulin glargine) is a long-acting insulin that starts to work several hours after injection and keeps working evenly for 24 hours. insulin is a hormone that works by lowering levels of glucose (sugar) in the blood. basaglar is used to improve blood sugar control in adults and children with diabetes mellitus. basaglar is for use in adults with type 1 or type 2 diabetes, and in children at least 6 years old with type 1 diabetes. some brands of insulin glargine are for use only in adults. carefully follow all instructions for the brand of insulin glargine you are using."
Belbuca,https://www.drugs.com/belbuca.html,"belbuca buccal films contain buprenorphine, an opioid medication. an opioid is sometimes called a narcotic. belbuca buccal films are for around-the-clock treatment of moderate to severe chronic pain that is not controlled by other medicines. belbuca is not for use on an as-needed basis for occasional pain. the belbuca buccal film is placed between the gum and cheek where it adheres to the moist buccal mucosa to deliver the medicine as the film dissolves."
Belsomra,https://www.drugs.com/belsomra.html,belsomra (suvorexant) is a sleep medicine that helps regulate your sleep and wake cycle. belsomra is used to treat insomnia (trouble falling asleep or staying asleep). belsomra may also be used for purposes not listed in this medication guide.
Benadryl,https://www.drugs.com/benadryl.html,"benadryl (diphenhydramine) is an antihistamine that reduces the effects of natural chemical histamine in the body. histamine can produce symptoms of sneezing, itching, watery eyes, and runny nose. benadryl is used to treat sneezing, runny nose, watery eyes, hives, skin rash, itching, and other cold or allergy symptoms. benadryl is also used to treat motion sickness, to induce sleep, and to treat certain symptoms of parkinson's disease."
Benazepril,https://www.drugs.com/mtm/benazepril.html,benazepril is an ace inhibitor that is used to treat high blood pressure (hypertension). lowering blood pressure may lower your risk of a stroke or heart attack. benazepril may also be used for purposes not listed in this medication guide.
Benicar,https://www.drugs.com/benicar.html,"benicar (olmesartan) is an angiotensin ii receptor antagonist. olmesartan keeps blood vessels from narrowing, which lowers blood pressure and improves blood flow. benicar is used to treat high blood pressure (hypertension) in adults and children who are at least 6 years old. benicar is sometimes given together with other blood pressure medications."
Bentyl,https://www.drugs.com/mtm/bentyl.html,bentyl relieves spasms of the muscles in the stomach and intestines. bentyl is used to treat functional bowel or irritable bowel syndrome. bentyl may also be used for purposes not listed in this medication guide.
Benzonatate,https://www.drugs.com/benzonatate.html,"benzonatate is a non-narcotic cough medicine. benzonatate works by numbing the throat and lungs, making the cough reflex less active. benzonatate is used to relieve coughing."
Benztropine,https://www.drugs.com/mtm/benztropine.html,"benztropine reduces the effects of certain chemicals in the body that may be unbalanced as a result of disease (such as parkinson's), drug therapy, or other causes. benztropine is used together with other medicines to treat the symptoms of parkinson's disease (muscle spasms, stiffness, tremors, poor muscle control). benztropine is also used to treat and prevent these symptoms when they are caused by drugs such as chlorpromazine (thorazine), fluphenazine (prolixin), perphenazine (trilafon), and others. benztropine may also be used for purposes not listed in this medication guide."
Betamethasone,https://www.drugs.com/betamethasone-topical.html,"betamethasone is a highly potent steroid that prevents the release of substances in the body that cause inflammation. betamethasone topical (for the skin) is used to treat the inflammation and itching caused by a number of skin conditions such as eczema or psoriasis. betamethasone topical is available in a cream, gel, ointment, lotion, foam or spray."
Bicalutamide,https://www.drugs.com/mtm/bicalutamide.html,"bicalutamide is used to treat prostate cancer that has spread to other parts of the body (metastatic). bicalutamide is given in combination with another medicine called a luteinizing (loo-tee-in-ize-ing) hormone-releasing hormone, or lhrh. lhrh helps prevent the testicles from producing testosterone. bicalutamide may also be used for purposes not listed in this medication guide."
Biktarvy,https://www.drugs.com/biktarvy.html,"biktarvy contains a combination of bictegravir, emtricitabine, and tenofovir. bictegravir, emtricitabine, and tenofovir are antiviral medicines that prevent human immunodeficiency virus (hiv) from multiplying in your body. biktarvy is used to treat hiv, the virus that can cause acquired immunodeficiency syndrome (aids). biktarvy is for use in adults and children who weigh at least 55 pounds (25 kilograms). biktarvy is not a cure for hiv or aids."
Bisacodyl,https://www.drugs.com/mtm/bisacodyl-oral-and-rectal.html,"bisacodyl is a laxative that stimulates bowel movements. bisacodyl is used to treat constipation or to empty the bowels before surgery, colonoscopy, x-rays, or other intestinal medical procedure. bisacodyl may also be used for purposes not listed in this medication guide."
Bisoprolol,https://www.drugs.com/bisoprolol.html,bisoprolol is a beta-blocker that affects the heart and circulation (blood flow through arteries and veins). bisoprolol is used to treat hypertension (high blood pressure). bisoprolol may also be used for purposes not listed in this medication guide.
Boniva,https://www.drugs.com/boniva.html,boniva (ibandronate) is a bisphosphonate medicine that alters bone formation and breakdown in the body. this can slow bone loss and may help prevent bone fractures. boniva is prescription medicine used to treat or prevent osteoporosis in women after menopause. ibandronate helps increase bone mass and helps reduce the chance of having a spinal fracture. it is not known how long boniva works for the treatment and prevention of osteoporosis. you should see your doctor regularly to determine if this medicine is still right for you.
Botox,https://www.drugs.com/botox.html,"botox (onabotulinumtoxina) is made from the bacteria that causes botulism. botulinum toxin blocks nerve activity in the muscles. botox is used in adults to treat cervical dystonia (abnormal head position and neck pain). botox is also used to treat muscle stiffness (spasticity) of the arms, hands, legs, and feet in adults and children who are at least 2 years old. botox is used to treat certain eye muscle conditions caused by nerve disorders in adults and children who are at least 12 years old. this includes uncontrolled blinking or spasm of the eyelids, and a condition in which the eyes do not point in the same direction (strabismus). botox is used in adults to treat overactive bladder and incontinence (urine leakage) that has not been helped by other medication. botox may be used to treat incontinence caused by nerve disorders such as spinal cord injury or multiple sclerosis. botox is used in adults to prevent chronic migraine headaches that occur more than 15 days per month and last 4 hours or longer. botox should not be used to treat a common tension headache. botox is also used to treat severe underarm sweating (hyperhidrosis) in adults. botox cosmetic is used to temporarily lessen the appearance of facial wrinkles in adults."
Breo Ellipta,https://www.drugs.com/breo-ellipta.html,"breo ellipta inhalation powder contains a combination of fluticasone and vilanterol. fluticasone is a steroid that prevents the release of substances in the body that cause inflammation. vilanterol is a bronchodilator that works by relaxing muscles in the airways to improve breathing. breo ellipta is a once-daily combination medicine used in adults with asthma or copd (chronic obstructive pulmonary disease), to improve symptoms and prevent bronchospasm or asthma attacks. in people with copd, breo ellipta is for long-term treatment. in people with asthma, this medicine is for short-term treatment until symptoms are well-controlled with with other medicines. vilanterol when used alone may increase the risk of death in people with asthma. however, this risk is not increased when fluticasone and vilanterol are used together as a combination product."
Brilinta,https://www.drugs.com/brilinta.html,"brilinta (ticagrelor) prevents platelets in your blood from sticking together to form an unwanted blood clot that could block an artery. brilinta is used with aspirin to lower your risk of having a stroke, serious heart problems, or death after you've had a heart attack or severe chest pain (angina). it is also used to prevent blood clots in people that have had a stent placed in their heart. brilinta is used with aspirin to lower the risk of heart attack or stroke in people with coronary artery disease and decreased blood flow to the heart. brilinta is also used with aspirin to lower the risk of stroke in people who are having a stroke (acute ischemic stroke) or mini-stroke (transient ischemic attack or tia)."
Brimonidine ophthalmic,https://www.drugs.com/mtm/brimonidine-ophthalmic.html,"brimonidine ophthalmic (for the eyes) is used to reduce pressure inside the eyes in people with open-angle glaucoma or ocular hypertension. the alphagan p brand of brimonidine ophthalmic is available only with a prescription. the lumify brand of brimonidine ophthalmic is available without a prescription, and is used to relieve eye redness and irritation. alphagan p is for use in adults and children as young as 2 years old. lumify is for use in adults and children who are at least 5 years old. brimonidine ophthalmic may also be used for purposes not listed in this medication guide."
Budesonide,https://www.drugs.com/mtm/budesonide.html,budesonide is a steroid that reduces inflammation in the body. entocort and ortikos are used to treat mild to moderate crohn's disease in adults and children at least 8 years old. these medicines are also used in adults to keep symptoms from returning for up to 3 months. uceris is used to treat mild to moderate ulcerative colitis (uc) in adults. budesonide may also be used for purposes not listed in this medication guide.
Buprenorphine,https://www.drugs.com/buprenorphine.html,"buprenorphine is an opioid medication. buprenorphine sublingual tablets (given under the tongue) are a prescription medicine used to treat opioid addiction (either prescription or illegal drugs), as part of a complete treatment program that also includes counseling and behavioral therapy. buprenorphine sublingual tablets are most often used for the first 1 or 2 days to help you start with treatment. other forms of buprenorphine are used to treat moderate to severe pain."
Buprenorphine and Naloxone,https://www.drugs.com/mtm/buprenorphine-and-naloxone-oral-sublingual.html,"buprenorphine is an opioid medication, sometimes called a narcotic. naloxone blocks the effects of opioid medication, including pain relief or feelings of well-being that can lead to opioid abuse. buprenorphine and naloxone is a combination medicine used to treat narcotic (opiate) addiction. buprenorphine and naloxone is not for use as a pain medication. buprenorphine and naloxone may also be used for purposes not listed in this medication guide."
Bupropion,https://www.drugs.com/bupropion.html,bupropion is an antidepressant medication used to treat major depressive disorder and seasonal affective disorder. the zyban brand of bupropion is used to help people stop smoking by reducing cravings and other withdrawal effects. bupropion may also be used for purposes not listed in this medication guide.
Buspar,https://www.drugs.com/buspar.html,"buspar (buspirone) is an anti-anxiety medicine that affects chemicals in the brain that may be unbalanced in people with anxiety. buspar is used to treat anxiety disorders or the symptoms of anxiety, such as fear, tension, irritability, dizziness, pounding heartbeat, and other physical symptoms. buspar is not an anti-psychotic medication and should not be used in place of medication prescribed by your doctor for mental illness. buspar may also be used for purposes not listed in this medication guide."
Buspirone,https://www.drugs.com/buspirone.html,"buspirone is an anti-anxiety medicine that affects chemicals in the brain that may be unbalanced in people with anxiety. buspirone is used to treat symptoms of anxiety, such as fear, tension, irritability, dizziness, pounding heartbeat, and other physical symptoms. buspirone is not an anti-psychotic medication and should not be used in place of medication prescribed by your doctor for psychotic disorders."
Butalbital Compound,https://www.drugs.com/mtm/butalbital-compound.html,"aspirin is a pain reliever, as well as an anti-inflammatory and a fever reducer. butalbital is a barbiturate. it relaxes muscle contractions involved in a tension headache. caffeine is a central nervous system stimulant. it relaxes muscle contractions in blood vessels to improve blood flow. butalbital compound is a combination medicine used to treat tension headaches. butalbital compound is not for treating headaches that come and go. butalbital compound may also be used for purposes not those listed in this medication guide."
Bydureon,https://www.drugs.com/bydureon.html,bydureon (exenatide) is an extended release injectable diabetes medicine that helps control blood sugar levels. this medication helps your pancreas produce insulin more efficiently. bydureon is a long-acting form of exenatide. bydureon is used together with diet and exercise to improve blood sugar control in adults with type 2 diabetes mellitus. this medicine is not for treating type 1 diabetes. this medication guide provides information about the bydureon brand of exenatide. byetta is another brand of exenatide that is not covered in this medication guide.
Byetta,https://www.drugs.com/byetta.html,"byetta (exenatide) is an injectable diabetes medicine that helps control blood sugar levels. this medication helps your pancreas produce insulin more efficiently. byetta is a short-acting form of exenatide. byetta is used together with diet and exercise to improve blood sugar control in adults with type 2 diabetes. byetta is not for treating type 1 diabetes. this medication guide provides information about the byetta, an immediate-release brand of exenatide. bydureon is an extended-release brand of exenatide that is not covered in this medication guide."
Bystolic,https://www.drugs.com/bystolic.html,bystolic (nebivolol) belongs to a group of drugs called beta-blockers. beta-blockers affect the heart and circulation (blood flow through arteries and veins). bystolic is used to treat hypertension (high blood pressure). lowering blood pressure may lower your risk of a stroke or heart attack. bystolic may also be used for other purposes not listed in this medication guide.
Calcitriol,https://www.drugs.com/mtm/calcitriol.html,"calcitriol is a form of vitamin d3. vitamin d helps your body absorb calcium from the stomach. calcitriol is used to treat hyperparathyroidism (overactive parathyroid glands) and metabolic bone disease in people who have chronic kidney failure and are not receiving dialysis. calcitriol is also used to treat calcium deficiency in people with hypoparathyroidism (underactive parathyroid glands) caused by surgery, disease, or other conditions. calcitriol is also used to treat calcium deficiency (hypocalcemia) and metabolic bone disease in people who are receiving dialysis. calcitriol may also be used for purposes not listed in this medication guide."
Calcium carbonate,https://www.drugs.com/mtm/calcium-carbonate.html,"calcium is a mineral that is found naturally in foods. calcium is necessary for many normal functions of the body, especially bone formation and maintenance. calcium carbonate is used to prevent or to treat a calcium deficiency. there are many brands and forms of calcium carbonate available. not all brands are listed on this leaflet. calcium carbonate may also be used for purposes not listed in this medication guide."
Captopril,https://www.drugs.com/captopril.html,"captopril is an ace inhibitor. ace stands for angiotensin converting enzyme. captopril is used to treat high blood pressure (hypertension), congestive heart failure, kidney problems caused by diabetes, and to improve survival after a heart attack. captopril may also be used for purposes not listed in this medication guide."
Carafate,https://www.drugs.com/carafate.html,"carafate (sucralfate) is an anti-ulcer medication. carafate is not greatly absorbed into the body through the digestive tract. it works mainly in the lining of the stomach by sticking to ulcer sites and protecting them from acids, enzymes, and bile salts. carafate is used to treat an active duodenal ulcer. sucralfate can heal an active ulcer, but it will not prevent future ulcers from occurring."
Carbamazepine,https://www.drugs.com/carbamazepine.html,"carbamazepine is an anticonvulsant. it works by decreasing nerve impulses that cause seizures and nerve pain, such as trigeminal neuralgia and diabetic neuropathy. carbamazepine is also used to treat bipolar disorder. carbamazepine may also be used for purposes not listed in this medication guide."
